Image;Tracing;X [pix];Y [pix]
AG003B8X000001;N1;26;1208
AG003B8X000001;N1;48;1323
AG003B8X000001;N2;222;1203
AG003B8X000001;N2;229;1273
AG003B8X000001;N3;317;1303
AG003B8X000001;N3;352;1332
AG003B8X000001;N4;301;1175
AG003B8X000001;N4;312;1192
AG003B8X000001;N5;368;1251
AG003B8X000001;N5;380;1269
AG003B8X000001;N5;396;1283
AG003B8X000001;N6;358;1095
AG003B8X000001;N6;390;1149
AG003B8X000001;N8;470;1196
AG003B8X000001;N8;522;1237
AG003B8X000001;N9;537;1271
AG003B8X000001;N9;522;1243
AG003B8X000001;N9;482;1199
AG003B8X000001;N10;582;1147
AG003B8X000001;N10;602;1181
AG003B8X000001;N10;624;1199
AG003B8X000001;N11;673;1087
AG003B8X000001;N11;692;1115
AG003B8X000001;N11;712;1140
AG003B8X000001;N12;768;1037
AG003B8X000001;N12;773;1056
AG003B8X000001;N13;817;819
AG003B8X000001;N13;833;909
AG003B8X000001;N14;1225;907
AG003B8X000001;N14;1228;957
AG003B8X000001;N14;1226;969
AG003B8X000001;N16;1297;676
AG003B8X000001;N16;1302;789
AG003B8X000001;N17;1333;783
AG003B8X000001;N17;1306;827
AG003B8X000001;N18;1469;724
AG003B8X000001;N18;1450;809
